id,name,show1,show2,show3,show4,show5,show6,show7,show8,show9,show10
1,John,,,,,,,,,,
2,William,,,,,,,,,,
3,James,,,,,,,,,,
4,Charles,,,,,,,,,,
5,George,,,,,,,,,,
6,Frank,,,,,,,,,,
7,Joseph,,,,,,,,,,
8,Thomas,,,,,,,,,,
9,Henry,,,,,,,,,,
10,Robert,,,,,,,,,,
11,Edward,,,,,,,,,,
12,Harry,,,,,,,,,,
13,Walter,,,,,,,,,,
14,Arthur,,,,,,,,,,
15,Fred,,,,,,,,,,
16,Albert,,,,,,,,,,
17,Samuel,,,,,,,,,,
18,David,,,,,,,,,,
19,Louis,,,,,,,,,,
20,Joe,,,,,,,,,,
21,Charlie,,,,,,,,,,
22,Clarence,,,,,,,,,,
23,Richard,,,,,,,,,,
24,Andrew,,,,,,,,,,
25,Daniel,,,,,,,,,,
26,Ernest,,,,,,,,,,
27,Will,,,,,,,,,,
28,Jesse,,,,,,,,,,
29,Oscar,,,,,,,,,,
30,Lewis,,,,,,,,,,
31,Peter,,,,,,,,,,
32,Benjamin,,,,,,,,,,
33,Frederick,,,,,,,,,,
34,Willie,,,,,,,,,,
35,Alfred,,,,,,,,,,
36,Sam,,,,,,,,,,
37,Roy,,,,,,,,,,
38,Herbert,,,,,,,,,,
39,Jacob,,,,,,,,,,
40,Tom,,,,,,,,,,
41,Elmer,,,,,,,,,,
42,Carl,,,,,,,,,,
43,Lee,,,,,,,,,,
44,Howard,,,,,,,,,,
45,Martin,,,,,,,,,,
46,Michael,,,,,,,,,,
47,Bert,,,,,,,,,,
48,Herman,,,,,,,,,,
49,Jim,,,,,,,,,,
50,Francis,,,,,,,,,,
51,Harvey,,,,,,,,,,
52,Earl,,,,,,,,,,
53,Eugene,,,,,,,,,,
54,Ralph,,,,,,,,,,
55,Ed,,,,,,,,,,
56,Claude,,,,,,,,,,
57,Edwin,,,,,,,,,,
58,Ben,,,,,,,,,,
59,Charley,,,,,,,,,,
60,Paul,,,,,,,,,,
61,Edgar,,,,,,,,,,
62,Isaac,,,,,,,,,,
63,Otto,,,,,,,,,,
64,Luther,,,,,,,,,,
65,Lawrence,,,,,,,,,,
66,Ira,,,,,,,,,,
67,Patrick,,,,,,,,,,
68,Guy,,,,,,,,,,
69,Oliver,,,,,,,,,,
70,Theodore,,,,,,,,,,
71,Hugh,,,,,,,,,,
72,Clyde,,,,,,,,,,
73,Alexander,,,,,,,,,,
74,August,,,,,,,,,,
75,Floyd,,,,,,,,,,
76,Homer,,,,,,,,,,
77,Jack,,,,,,,,,,
78,Leonard,,,,,,,,,,
79,Horace,,,,,,,,,,
80,Marion,,,,,,,,,,
81,Philip,,,,,,,,,,
82,Allen,,,,,,,,,,
83,Archie,,,,,,,,,,
84,Stephen,,,,,,,,,,
85,Chester,,,,,,,,,,
86,Willis,,,,,,,,,,
87,Raymond,,,,,,,,,,
88,Rufus,,,,,,,,,,
89,Warren,,,,,,,,,,
90,Jessie,,,,,,,,,,
91,Milton,,,,,,,,,,
92,Alex,,,,,,,,,,
93,Leo,,,,,,,,,,
94,Julius,,,,,,,,,,
95,Ray,,,,,,,,,,
96,Sidney,,,,,,,,,,
97,Bernard,,,,,,,,,,
98,Dan,,,,,,,,,,
99,Jerry,,,,,,,,,,
100,Calvin,,,,,,,,,,
101,Perry,,,,,,,,,,
102,Dave,,,,,,,,,,
103,Anthony,,,,,,,,,,
104,Eddie,,,,,,,,,,
105,Amos,,,,,,,,,,
106,Dennis,,,,,,,,,,
107,Clifford,,,,,,,,,,
108,Leroy,,,,,,,,,,
109,Wesley,,,,,,,,,,
110,Alonzo,,,,,,,,,,
111,Garfield,,,,,,,,,,
112,Franklin,,,,,,,,,,
113,Emil,,,,,,,,,,
114,Leon,,,,,,,,,,
115,Nathan,,,,,,,,,,
116,Harold,,,,,,,,,,
117,Matthew,,,,,,,,,,
118,Levi,,,,,,,,,,
119,Moses,,,,,,,,,,
120,Everett,,,,,,,,,,
121,Lester,,,,,,,,,,
122,Winfield,,,,,,,,,,
123,Adam,,,,,,,,,,
124,Lloyd,,,,,,,,,,
125,Mack,,,,,,,,,,
126,Fredrick,,,,,,,,,,
127,Jay,,,,,,,,,,
128,Jess,,,,,,,,,,
129,Melvin,,,,,,,,,,
130,Noah,,,,,,,,,,
131,Aaron,,,,,,,,,,
132,Alvin,,,,,,,,,,
133,Norman,,,,,,,,,,
134,Gilbert,,,,,,,,,,
135,Elijah,,,,,,,,,,
136,Victor,,,,,,,,,,
137,Gus,,,,,,,,,,
138,Nelson,,,,,,,,,,
139,Jasper,,,,,,,,,,
140,Silas,,,,,,,,,,
141,Christopher,,,,,,,,,,
142,Jake,,,,,,,,,,
143,Mike,,,,,,,,,,
144,Percy,,,,,,,,,,
145,Adolph,,,,,,,,,,
146,Maurice,,,,,,,,,,
147,Cornelius,,,,,,,,,,
148,Felix,,,,,,,,,,
149,Reuben,,,,,,,,,,
150,Wallace,,,,,,,,,,
151,Claud,,,,,,,,,,
152,Roscoe,,,,,,,,,,
153,Sylvester,,,,,,,,,,
154,Earnest,,,,,,,,,,
155,Hiram,,,,,,,,,,
156,Otis,,,,,,,,,,
157,Simon,,,,,,,,,,
158,Willard,,,,,,,,,,
159,Irvin,,,,,,,,,,
160,Mark,,,,,,,,,,
161,Jose,,,,,,,,,,
162,Wilbur,,,,,,,,,,
163,Abraham,,,,,,,,,,
164,Virgil,,,,,,,,,,
165,Clinton,,,,,,,,,,
166,Elbert,,,,,,,,,,
167,Leslie,,,,,,,,,,
168,Marshall,,,,,,,,,,
169,Owen,,,,,,,,,,
170,Wiley,,,,,,,,,,
171,Anton,,,,,,,,,,
172,Morris,,,,,,,,,,
173,Manuel,,,,,,,,,,
174,Phillip,,,,,,,,,,
175,Augustus,,,,,,,,,,
176,Emmett,,,,,,,,,,
177,Eli,,,,,,,,,,
178,Nicholas,,,,,,,,,,
179,Wilson,,,,,,,,,,
180,Alva,,,,,,,,,,
181,Harley,,,,,,,,,,
182,Newton,,,,,,,,,,
183,Timothy,,,,,,,,,,
184,Marvin,,,,,,,,,,
185,Ross,,,,,,,,,,
186,Curtis,,,,,,,,,,
187,Edmund,,,,,,,,,,
188,Jeff,,,,,,,,,,
189,Elias,,,,,,,,,,
190,Harrison,,,,,,,,,,
191,Stanley,,,,,,,,,,
192,Columbus,,,,,,,,,,
193,Lon,,,,,,,,,,
194,Ora,,,,,,,,,,
195,Ollie,,,,,,,,,,
196,Russell,,,,,,,,,,
197,Pearl,,,,,,,,,,
198,Solomon,,,,,,,,,,
199,Arch,,,,,,,,,,
200,Asa,,,,,,,,,,
201,Clayton,,,,,,,,,,
202,Enoch,,,,,,,,,,
203,Irving,,,,,,,,,,
204,Mathew,,,,,,,,,,
205,Nathaniel,,,,,,,,,,
206,Scott,,,,,,,,,,
207,Hubert,,,,,,,,,,
208,Lemuel,,,,,,,,,,
209,Andy,,,,,,,,,,
210,Ellis,,,,,,,,,,
211,Emanuel,,,,,,,,,,
212,Joshua,,,,,,,,,,
213,Millard,,,,,,,,,,
214,Vernon,,,,,,,,,,
215,Wade,,,,,,,,,,
216,Cyrus,,,,,,,,,,
217,Miles,,,,,,,,,,
218,Rudolph,,,,,,,,,,
